Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
73,InShot - Video Editor,Trending,SHANTANU PTE. LTD.,Photo & Video,4.84137,26584,2015-06-11,Free,inshot,video,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,inshot,video,videos,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/jo/app/inshot-video-editor/id997362197?uo=4
74,Microsoft Teams,Trending,Microsoft Corporation,Business,4.57972,10372,2016-11-02,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,manage teams,microsoft teams,teams,zoom workplace,scanner app,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/microsoft-teams/id1113153706?uo=4
75,Arabi-Mobile,Trending,Arab Bank PLC,Finance,3.91389,4564,2018-08-05,Free,card,arabi,arab,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,arabi mobicash,arabi pay,arabi islami,arab chat,buzzarab arab,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/arabi-mobile/id1387380275?uo=4
76,Tikrar,Trending,TECHNZONE,Shopping,3.18182,11,2024-04-09,Free,tikrar,fashion,introducing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online fashion,shop fashion,fashion shop,trendyol fashion,fashion queen,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/tikrar/id1576863896?uo=4
77,DeepSeek - AI Assistant,Trending,杭州深度求索人工智能基础技术研究有限公司,Productivity,4.09346,107,2025-01-10,Free,deepseek,ai,assistant,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bot assistant,chatbot assistant,assistant,more ways,chat bot,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/deepseek-ai-assistant/id6737597349?uo=4
78,TeraBox: 1TB Cloud & AI Space,Trending,FLEXTECH INC.,Productivity,3.96552,377,2020-04-29,Free,terabox,files,purchase,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,terabox 1tb,transfer files,files browser,offline files,dropbox files,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/terabox-1tb-cloud-ai-space/id1509453185?uo=4
79,Holy Quran - Deeper journey,Trending,AvnTech Inc.,Book,4.4386,57,2025-04-15,Free,quran,holy,spiritual,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,golden quran,quran app,pro quran,quran athan,quran majeed,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/holy-quran-deeper-journey/id6743958037?uo=4
80,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.73041,434,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,watch dramas,short dramas,stream drama,drama shorts,it dramamovies,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/shortmax-watch-dramas-show/id6464002625?uo=4
81,Airalo: eSIM Travel & Internet,Trending,Airalo,Travel,4.7262,1271,2019-10-11,Free,esim,airalo,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobimatter esim,esim travel,esim internet,esim marketplace,numero esim,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/airalo-esim-travel-internet/id1475911720?uo=4
82,"SuperLive-Live Stream, Go Live",Trending,Superlive LLC,Social Networking,4.55046,327,2020-12-22,Free,superlive,live,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,superlivelive stream,superlive plus,livelive stream,bigo livelive,superlive,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/superlive-live-stream-go-live/id1545607822?uo=4
83,X,Trending,X Corp.,News,4.22926,67619,2010-02-18,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the content,content nearby,content cloud,explore content,join clash,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/x/id333903271?uo=4
84,imo-International Calls & Chat,Trending,imo.im,Social Networking,4.15201,3105,2010-02-18,Free,imo,calls,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imo video,imointernational calls,for imo,voice calls,snapchat chat,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/imo-international-calls-chat/id336435697?uo=4
85,"AlMosaly: athan, prayer time",Trending,Madar Al Parmaga,Lifestyle,4.75424,18827,2011-05-27,Free,times,almosaly,prayer,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,almosaly athan,prayer time,prayer times,athan prayer,muslim prayer,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/almosaly-athan-prayer-time/id438091943?uo=4
86,WePlay - Game & Party,Trending,WEJOY PTE. LTD.,Entertainment,4.38265,11671,2021-12-08,Free,weplay,party,image,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chat party,party battle,watch party,mighty party,weplay,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/weplay-game-party/id1589399089?uo=4
87,CamScanner - PDF Scanner App,Trending,"INTSIG Information Co., Ltd",Productivity,4.80839,9373,2010-08-28,Free,camscanner,pdf,scan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,scanner app,document pdf,scanguru document,translate scanner,pdf scanner,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/camscanner-pdf-scanner-app/id388627783?uo=4
88,Vision City Bus,Trending,KENT KART EGE ELEKTRONIK SANAYI VE TICARET A S,Travel,2.19428,664,2019-10-03,Free,card,bus,vision,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vision city,smurfovision,vision,reels video,video editor,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/jo/app/vision-city-bus/id1478721196?uo=4
89,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,4.75846,857,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,sports fc,including lowcost,including dont,including complete,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/dazn-stream-live-sports/id1129523589?uo=4
90,PlayEdge-Effortless View,Trending,FABRICATION ELECTRIC LLC,Utilities,5.0,1,2025-03-07,Free,video,playedge,local,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,playedgeeffortless view,local forecast,video,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/playedge-effortless-view/id6742444007?uo=4
91,JETT جت,Trending,JORDAN EXPRESS TOURIST TRANSPORT,Travel,2.34884,86,2018-12-10,Free,في,jett,من,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jett driver,jett run,jett human,jett,shield super,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/jo/app/jett-%D8%AC%D8%AA/id1438081338?uo=4
92,Orange Max it - Jordan,Trending,Orange Jordan,Productivity,4.29718,710,2014-02-24,Free,orange,max,wallet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orange money,orange max,jood orange,orange egypt,fire max,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/orange-max-it-jordan/id808824590?uo=4
93,WeTransfer: Transfer Files,Trending,WeTransfer BV,Productivity,4.82709,1735,2021-10-12,Free,wetransfer,files,transfer,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,transfer files,files browser,offline files,dropbox files,share files,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/wetransfer-transfer-files/id1569379048?uo=4
94,1.1.1.1: Faster Internet,Trending,Cloudflare,Utilities,4.16952,1752,2018-11-11,Free,warp,internet,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,warp photo,crime warp,time warp,photo warp,warp scan,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/1-1-1-1-faster-internet/id1423538627?uo=4
95,HyperMax,Trending,MAF HYPERMARKETS (AL SHANDAGHA BR),Shopping,3.03636,55,2024-11-05,Free,hypermax,shopping,products,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,shopping made,hypermax,sheinshopping,shopping,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/jo/app/hypermax/id6737192486?uo=4
96,Anghami: Play Music & Podcasts,Trending,Anghami,Music,4.66683,40485,2012-09-20,Free,music,song,anghami,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,play music,spotify music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jo/app/anghami-play-music-podcasts/id545395155?uo=4
97,FORTUNEiT,Trending,Softylus,Shopping,4.42856,7,2024-09-17,Free,fortuneit,opportunity,assets,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fortuneit,live pro,phoenix live,secureye smart,job search,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/jo/app/fortuneit/id6504866798?uo=4
98,Remini - AI Photo Enhancer,Trending,Bending Spoons Apps ApS,Photo & Video,4.68168,13298,2019-08-01,Free,remini,subscription,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,photo,photos,rush for,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/jo/app/remini-ai-photo-enhancer/id1470373330?uo=4
99,Reflect -Banking made personal,Trending,Arab Bank PLC,Finance,3.7381,882,2021-10-03,Free,reflect,money,banking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,banking made,reflect banking,banking services,mobile banking,banking,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/jo/app/reflect-banking-made-personal/id1585813708?uo=4
100,eFAWATEERcom,Trending,MadfooatCom for Electronic Payments PSC.,Finance,3.4456,1342,2018-08-26,Free,efawateercom,electronic,real,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,real racing,real car,efawateercom,real,mobile football,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/jo/app/efawateercom/id1325527667?uo=4
