Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
12,Threads,Trending,"Instagram, Inc.",Social Networking,4.78782,75427,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,unicorn https,https traffic,instagram,threads,100,100,100,90,90,https://apps.apple.com/id/app/threads/id6446901002?uo=4
13,"Strava: Run, Bike, Walk",Trending,"Strava, Inc.",Health & Fitness,4.90617,17223,2011-03-24,Free,strava,subscription,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for strava,strava run,strava,data,club running,100,100,90,90,75,https://apps.apple.com/id/app/strava-run-bike-walk/id426826309?uo=4
14,JMO - Jamsostek Mobile,Trending,BPJS Ketenagakerjaan,Finance,1.9923,16619,2019-01-10,Free,jmo,layanan,digital,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dfi jmo,jmof app,elayanan paspor,dompet digital,digital indonesia,100,100,100,100,100,https://apps.apple.com/id/app/jmo-jamsostek-mobile/id1444834757?uo=4
15,"Grab: Taxi Ride, Food Delivery",Trending,Grab.com,Travel,4.89412,1159964,2013-05-15,Free,delivery,grab,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food delivery,ride food,grab taxi,grab airport,grab driver,100,100,100,100,100,https://apps.apple.com/id/app/grab-taxi-ride-food-delivery/id647268330?uo=4
16,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.89717,709447,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photo video,collage maker,sticker maker,video editormaker,canva design,100,100,100,100,100,https://apps.apple.com/id/app/canva-design-photo-video/id897446215?uo=4
17,POLRI Super App,Trending,Divisi Teknologi Informasi dan Komunikasi Kepolisian Negara Republik Indonesia,Utilities,1.84338,2273,2022-04-29,Free,polri,anda,dapat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pusinafis polri,korlantas polri,polri super,lemdiklat polri,malaysia dapat,100,100,100,100,100,https://apps.apple.com/id/app/polri-super-app/id1617509708?uo=4
18,BRImo BRI,Trending,PT. Bank Rakyat Indonesia (Persero) Tbk.,Finance,4.68402,169598,2018-12-21,Free,brimo,dan,bri,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,brimo bri,bri ceria,bri credit,bri internal,brimo,100,100,100,100,90,https://apps.apple.com/id/app/brimo-bri/id1439730817?uo=4
19,Melolo - Short Movie & TV,Trending,POLIGON PTE. LTD.,Entertainment,4.94881,3731,2025-01-22,Free,dramas,melolo,captivating,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dramas anime,watch dramas,local dramas,dramas,melolo,100,100,100,90,90,https://apps.apple.com/id/app/melolo-short-movie-tv/id6737513497?uo=4
20,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.75806,466021,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,tiketcom hotels,alibabacom b2b,bookingcom travel,tripcom flight,100,100,100,100,100,https://apps.apple.com/id/app/capcut-photo-video-editor/id1500855883?uo=4
21,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.81849,95651,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,learn something,find something,something new,burn something,something with,100,100,100,100,100,https://apps.apple.com/id/app/dramabox-stream-drama-shorts/id6445905219?uo=4
22,Zoom Workplace,Trending,"Zoom Communications, Inc.",Business,4.77094,161676,2012-08-15,Free,zoom,workplace,zoom workplace,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zoom rooms,zoom 05x,zoom workplace,workplace for,workplace chat,100,100,100,100,100,https://apps.apple.com/id/app/zoom-workplace/id546505307?uo=4
23,Gmail - Email by Google,Trending,Google,Productivity,4.7646,54477,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,for gmail,100,100,100,100,100,https://apps.apple.com/id/app/gmail-email-by-google/id422689480?uo=4
24,Gojek,Trending,PT. GOTO GOJEK TOKOPEDIA TBK,Travel,4.7255,860639,2014-12-04,Free,gojek,singapore,whether,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,singapore mrt,singapore airlines,testing whether,whether you,singapore,100,100,100,100,90,https://apps.apple.com/id/app/gojek/id944875099?uo=4
25,TeraBox: 1TB Cloud & AI Space,Trending,FLEXTECH INC.,Productivity,3.25727,11070,2020-04-29,Free,terabox,files,purchase,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,terabox 1tb,terabox,1tb cloud,cleaner smart,cloud drive,100,90,75,75,75,https://apps.apple.com/id/app/terabox-1tb-cloud-ai-space/id1509453185?uo=4
26,CamScanner - PDF Scanner App,Trending,"INTSIG Information Co., Ltd",Productivity,4.89651,285228,2010-08-28,Free,camscanner,pdf,scan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,scanner app,scan document,pdf scanner,iscanner pdf,office pdf,100,100,100,100,100,https://apps.apple.com/id/app/camscanner-pdf-scanner-app/id388627783?uo=4
27,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.63218,1244940,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,new people,meet people,facebook,people,100,100,100,90,90,https://apps.apple.com/id/app/facebook/id284882215?uo=4
28,Wink: Video Enhancer & Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.89341,79098,2021-12-17,Free,video,subscription,wink,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktokglobal video,video editor,video community,video,design photo,100,100,100,90,75,https://apps.apple.com/id/app/wink-video-enhancer-editor/id1594288016?uo=4
29,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.80908,310066,2019-04-05,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build master,it build,100,100,100,100,100,https://apps.apple.com/id/app/whatsapp-business/id1386412985?uo=4
30,myBCA,Trending,PT. Bank Central Asia Tbk,Finance,3.56384,9219,2021-05-03,Free,bca,mybca,id,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ebranch bca,bca mobile,bca finance,halo bca,bca digital,100,100,100,100,100,https://apps.apple.com/id/app/mybca/id1440241902?uo=4
31,Livin' by Mandiri,Trending,PT. Bank Mandiri (Persero) Tbk.,Finance,3.24168,6968,2021-09-29,Free,livin,account,pay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,smart living,cove coliving,living,livin,coliving,100,100,90,90,90,https://apps.apple.com/id/app/livin-by-mandiri/id1555414743?uo=4
32,SeaBank,Trending,PT.Bank Seabank Indonesia,Finance,4.91428,173010,2021-06-30,Free,seabank,dan,dengan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,seabank,self service,union self,online ojk,western union,90,75,75,75,75,https://apps.apple.com/id/app/seabank/id1525477806?uo=4
33,Google Chrome,Trending,Google,Utilities,4.77268,127813,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google drive,google translate,100,100,100,100,100,https://apps.apple.com/id/app/google-chrome/id535886823?uo=4
34,Spotify: Music and Podcasts,Trending,Spotify,Music,4.84807,2220839,2016-03-29,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,spotify music,youtube music,and podcasts,spotify premium,100,100,100,100,100,https://apps.apple.com/id/app/spotify-music-and-podcasts/id324684580?uo=4
35,Google Drive – online backup,Trending,Google,Productivity,4.88448,760745,2012-06-28,Free,google,files,drive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,driver app,100,100,100,100,100,https://apps.apple.com/id/app/google-drive-online-backup/id507874739?uo=4
36,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.79098,16740,2011-02-15,Free,meitu,vip,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meitu photo,vip premium,photo video,meitu,photo,100,100,100,90,90,https://apps.apple.com/id/app/meitu-photo-video-editor/id416048305?uo=4
37,YouTube,Trending,Google,Photo & Video,4.76227,2440145,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube music,for youtube,youtube kids,youtube studio,youtube,100,100,100,100,90,https://apps.apple.com/id/app/youtube/id544007664?uo=4
38,Getcontact,Trending,GETVERIFY LDA,Utilities,4.73273,304521,2016-04-06,Free,getcontact,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,getcontact backup,tiketcom hotels,alibabacom b2b,bookingcom travel,tripcom flight,100,100,100,100,100,https://apps.apple.com/id/app/getcontact/id1010631459?uo=4
39,wondr by BNI,Trending,PT. BANK NEGARA INDONESIA (PERSERO) TBK.,Finance,4.8864,134391,2024-06-21,Free,wondr,dan,kamu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unpad kamu,wondr,kamu,photo art,brain puzzle,100,90,90,75,75,https://apps.apple.com/id/app/wondr-by-bni/id6499518320?uo=4
40,Traveloka: Book Hotel & Flight,Trending,Traveloka,Travel,4.90702,528140,2014-08-01,Free,travel,traveloka,every,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,traveloka book,traveloka tera,traveloka axes,traveloka,book hotel,100,100,100,90,75,https://apps.apple.com/id/app/traveloka-book-hotel-flight/id898244857?uo=4
41,Identitas Kependudukan Digital,Trending,DIREKTORAT JENDERAL KEPENDUDUKAN DAN PENCATATAN SIPIL,Productivity,1.62312,597,2023-05-24,Free,digital,kependudukan,ktp,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dompet digital,digital indonesia,pegadaian digital,kependudukan digital,digital korlantas,100,100,100,100,100,https://apps.apple.com/id/app/identitas-kependudukan-digital/id6448944056?uo=4
42,MyTelkomsel,Trending,PT Telekomunikasi Selular,Lifestyle,4.66306,1187999,2013-05-28,Free,orbit,also,digital,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orbit perfect,orbit relaxing,sleep orbit,golf orbit,dompet digital,100,100,100,100,100,https://apps.apple.com/id/app/mytelkomsel/id651412430?uo=4
43,maxim — order taxi & delivery,Trending,PT. SITO,Travel,4.87618,732295,2016-04-13,Free,order,ride,taxi,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,order taxi,ride food,taxi ride,grab taxi,rides platform,100,100,100,100,100,https://apps.apple.com/id/app/maxim-order-taxi-delivery/id579985456?uo=4
44,Google Sheets,Trending,Google,Productivity,4.90892,143564,2014-04-30,Free,google,sheets,create,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,xlsx sheets,100,100,100,100,100,https://apps.apple.com/id/app/google-sheets/id842849113?uo=4
45,Netflix,Trending,"Netflix, Inc.",Entertainment,4.68794,119270,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,netflix teleparty,party netflix,rni films,films photo,100,100,100,100,100,https://apps.apple.com/id/app/netflix/id363590051?uo=4
46,BCA mobile,Trending,PT. Bank Central Asia Tbk,Finance,3.34711,30656,2012-10-30,Free,bca,banking,transactions,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ebranch bca,bca mobile,bca finance,halo bca,bca digital,100,100,100,100,100,https://apps.apple.com/id/app/bca-mobile/id551587254?uo=4
47,Access by KAI,Trending,PT. KERETA API INDONESIA,Travel,4.80128,27365,2014-08-02,Free,train,access,kai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,train simulator,train booking,train station,bus train,indonesian train,100,100,100,100,100,https://apps.apple.com/id/app/access-by-kai/id901804734?uo=4
48,tiket.com: Hotels & Flights,Trending,Tiket.com,Travel,4.79486,117143,2014-06-29,Free,tiket,com,tiket com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiketcom hotels,alibabacom b2b,bookingcom travel,tripcom flight,tiketcom,100,100,100,100,90,https://apps.apple.com/id/app/tiket-com-hotels-flights/id890405921?uo=4
49,X,Trending,X Corp.,News,4.72857,538871,2009-10-09,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,carx street,xhero survival,the content,photofy content,content cloud,100,100,100,100,100,https://apps.apple.com/id/app/x/id333903271?uo=4
50,Clean Storage Now：AI Cleanup,Trending,STORMY GROWTH LIMITED,Utilities,4.66636,1124,2023-12-18,Free,photos,ai,cleanup,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,photo cleanup,cleanup clean,photos,100,100,100,100,90,https://apps.apple.com/id/app/clean-storage-now-ai-cleanup/id6473826568?uo=4
51,Tokopedia 7.7 PLUS Festival,Trending,TOKOPEDIA PT,Shopping,4.78406,623670,2015-06-23,Free,tokopedia,promos,shopping,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tokopedia 77,akulakuinstallment shopping,tokopedia,shopping,plus festival,100,100,90,90,75,https://apps.apple.com/id/app/tokopedia-7-7-plus-festival/id1001394201?uo=4
52,Turbo VPN Private Browser,Trending,INNOVATIVE CONNECTING PTE.LIMITED,Productivity,4.72994,164991,2018-04-10,Free,vpn,private,browser,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn lumos,turbo vpn,betternet vpn,super vpn,vpn unlimited,100,100,100,100,100,https://apps.apple.com/id/app/turbo-vpn-private-browser/id1365309175?uo=4
53,TikTok-Global Video Community,Trending,TikTok Ltd.,Entertainment,4.87133,1765223,2017-05-31,Free,videos,tiktok,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktokglobal video,video editor,video community,tiktok studio,save tiktok,100,100,100,100,100,https://apps.apple.com/id/app/tiktok-global-video-community/id1235601864?uo=4
54,Kredivo - Paylater & Loans,Trending,FinAccel Pte Ltd,Finance,4.77487,478158,2017-09-27,Free,kredivo,month,buy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kredivo,dana online,uatas pinjaman,adapundipinjaman dana,akulakuinstallment shopping,90,75,75,75,75,https://apps.apple.com/id/app/kredivo-paylater-loans/id1255413338?uo=4
55,Alfagift: Alfamart Online Shop,Trending,PT. Global Loyalty Indonesia,Shopping,4.35182,26871,2015-07-23,Free,alfamart,alfagift,online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online backup,zaloraonline fashion,beli online,online,zaloraonline,100,100,100,90,90,https://apps.apple.com/id/app/alfagift-alfamart-online-shop/id1013717463?uo=4
56,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.87268,299557,2011-04-28,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pinterest downloader,pinterest video,pinnable pinterest,pinterest image,pinterest lifestyle,100,100,100,100,100,https://apps.apple.com/id/app/pinterest-lifestyle-ideas/id429047995?uo=4
57,myIM3,Trending,"PT. Indosat, Tbk.",Lifestyle,4.27833,119403,2014-06-29,Free,myim3,postpaid,extra,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,extra hot,myim3,extra,mobile app,mydigi mobile,100,90,90,75,75,https://apps.apple.com/id/app/myim3/id888610275?uo=4
58,OVO,Trending,"Visionet Internasional, Pt",Finance,4.02651,47176,2016-09-06,Free,ovo,pay,everywhere,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,myrepublic everywhere,dinosaurs everywhere,poll everywhere,everywhere,wewatcheverywhere,100,100,100,90,90,https://apps.apple.com/id/app/ovo/id1142114207?uo=4
59,Remini - AI Photo Enhancer,Trending,Bending Spoons Apps ApS,Photo & Video,4.82916,328078,2019-08-01,Free,remini,subscription,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,remini voice,photo video,remini,easyartremini,reminischools,100,100,90,90,90,https://apps.apple.com/id/app/remini-ai-photo-enhancer/id1470373330?uo=4
60,Yup - VISA & Credit 0%*,Trending,PT. FINTURE TECH INDONESIA,Finance,4.65071,17842,2021-10-12,Free,dan,yup,untuk,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online backup,and podcasts,drama shorts,vsco photo,photo editor,75,75,75,75,75,https://apps.apple.com/id/app/yup-visa-credit-0/id1571716640?uo=4
61,Agoda: Cheap Flights & Hotels,Trending,Agoda.com,Travel,4.7949,155420,2011-06-07,Free,agoda,flights,travel,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,move flights,skyscanner flights,flights hotels,wego flights,cheap flights,100,100,100,100,100,https://apps.apple.com/id/app/agoda-cheap-flights-hotels/id440676901?uo=4
62,Google Authenticator,Trending,Google,Utilities,4.92943,40365,2010-09-20,Free,google,authenticator,accounts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,google authenticator,100,100,100,100,100,https://apps.apple.com/id/app/google-authenticator/id388497605?uo=4
63,"VPN Lumos: Open Proxy, Connect",Trending,"LUMOS, OOO",Utilities,4.44367,11565,2018-05-08,Free,subscription,period,lumos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clue period,flo period,period tracker,ivy period,period,100,100,100,100,90,https://apps.apple.com/id/app/vpn-lumos-open-proxy-connect/id1373844471?uo=4
64,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.57238,12738,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,drama shorts,watch dramas,stream drama,dramas anime,local dramas,100,100,100,100,100,https://apps.apple.com/id/app/shortmax-watch-dramas-show/id6464002625?uo=4
65,Akulaku-Installment Shopping,Trending,"AKULAKU SILVRR INDONESIA, PT",Shopping,4.48363,114700,2016-06-21,Free,akulaku,credit,loan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,akulaku paylater,akulakuinstallment shopping,akulaku merchant,akulaku finance,home credit,100,100,100,100,100,https://apps.apple.com/id/app/akulaku-installment-shopping/id1125683586?uo=4
66,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.73949,2995565,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,camera connect,avatar connect,proxy connect,instagram,100,100,100,100,90,https://apps.apple.com/id/app/instagram/id389801252?uo=4
67,Google Gemini,Trending,Google,Productivity,4.83066,29752,2024-11-11,Free,gemini,google,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,google,100,100,100,100,90,https://apps.apple.com/id/app/google-gemini/id6477489729?uo=4
68,Google Meet,Trending,Google,Social Networking,4.76574,13806,2016-09-02,Free,meet,video,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,app meet,google meet,meet people,meet friends,meet new,100,100,100,100,100,https://apps.apple.com/id/app/google-meet/id1096918571?uo=4
69,"Discord – Talk, Play, Hang Out",Trending,"Discord, Inc.",Social Networking,4.79972,74356,2015-05-21,Free,friends,chat,hang,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,snapchat chat,chat with,michat chat,hang out,100,100,100,100,100,https://apps.apple.com/id/app/discord-talk-play-hang-out/id985746746?uo=4
70,TikTok Studio,Trending,TikTok Ltd.,Photo & Video,4.59719,1852,2024-06-20,Free,tiktok,studio,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktokglobal video,tiktok studio,save tiktok,tiktok shop,tiktok video,100,100,100,100,100,https://apps.apple.com/id/app/tiktok-studio/id6478151677?uo=4
71,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.7702,2994787,2009-05-04,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,shareit transfer,transfer share,100,100,100,100,100,https://apps.apple.com/id/app/whatsapp-messenger/id310633997?uo=4
72,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.53945,16161,2019-03-16,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https traffic,snapchat chat,michat chat,chat with,100,100,100,100,100,https://apps.apple.com/id/app/ometv-video-chat-alternative/id1252974010?uo=4
73,LinkedIn: Job Search & News,Trending,LinkedIn Corporation,Business,4.68436,12470,2019-02-03,Free,job,linkedin,business,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,whatsapp business,business,zoom workplace,brimo bri,scanner app,100,90,75,75,75,https://apps.apple.com/id/app/linkedin-job-search-news/id288429040?uo=4
74,TikTok Shop Seller Center,Trending,TikTok Ltd.,Business,4.73731,40492,2021-12-02,Free,tiktok,shop,seller,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktokglobal video,tiktok studio,save tiktok,tiktok shop,tiktok video,100,100,100,100,100,https://apps.apple.com/id/app/tiktok-shop-seller-center/id1591003012?uo=4
75,BYOND by BSI,Trending,"PT Bank Syariah Indonesia, Tbk",Finance,3.71712,10135,2024-10-25,Free,byond,bsi,di,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bsi mobile,myubsi alumni,bsi kamus,myubsi student,pbnu bsi,100,100,100,100,100,https://apps.apple.com/id/app/byond-by-bsi/id6444697752?uo=4
76,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.74672,27329,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,rental agreement,netshort,agreement,drama shorts,reels short,100,90,90,75,75,https://apps.apple.com/id/app/netshort-popular-dramas-tv/id6504849169?uo=4
